fold,target,n_train,n_val,n_test,train_prevalence,val_prevalence,test_prevalence,val_train_ratio
0,arthritis,25380,6346,7932,0.28783089687870406,0.2875868603916614,0.2873737373737374,0.9991521532619013
0,asthma,25380,6346,7932,0.15704989154013016,0.15689057079785557,0.15697160883280756,0.9989855405775057
0,thyroid_condition,25380,6346,7932,0.11424396793428898,0.11433986102337335,0.11444107233181589,1.000839371135459
0,any_cancer,25380,6346,7932,0.10968301529727173,0.10969267139479906,0.10968067651142244,1.0000880363974418
0,copd,25380,6346,7932,0.06968641114982578,0.0694317558925635,0.07019358652283139,0.9963456970582861
0,gout,25380,6346,7932,0.04792862576941697,0.04827008928571429,0.047493403693931395,1.0071244170016491
0,liver_condition,25380,6346,7932,0.047848401105408604,0.04784462340123164,0.04774535809018567,0.9999210484762355
0,stroke,25380,6346,7932,0.04460232879415828,0.0446865624506553,0.04466876971608833,1.0018885483958868
0,myocardial_infarction,25380,6346,7932,0.04337016574585635,0.0433959286728736,0.043423377934864935,1.0005940241770857
0,emphysema,25380,6346,7932,0.05826889695439482,0.05840568271507498,0.058333333333333334,1.0023474918495061
0,chd,25380,6346,7932,0.04459731941643933,0.0446343779677113,0.044551322617390206,1.0008309591642925
1,arthritis,25380,6346,7932,0.28786501758406763,0.28722397476340694,0.2875552747946936,0.9977731131554619
1,asthma,25380,6346,7932,0.15702283753401963,0.15691531304210693,0.15703834510595358,0.9993152302327398
1,thyroid_condition,25380,6346,7932,0.11431505767103808,0.11427216690374585,0.11426767676767677,0.9996248021199826
1,any_cancer,25380,6346,7932,0.10967869110979696,0.1096560429157463,0.10972379871358305,0.9997935041545308
1,copd,25380,6346,7932,0.06975676916016521,0.06958432521516206,0.06984267019555948,0.9975279252884087
1,gout,25380,6346,7932,0.04760921912624699,0.04835103409726104,0.048459133541759715,1.015581330352152
1,liver_condition,25380,6346,7932,0.047861627769221655,0.047641583846032495,0.04786562263197777,0.9954024981296047
1,stroke,25380,6346,7932,0.044631230022493196,0.04451460142067877,0.0447139067828723,0.9973868387280466
1,myocardial_infarction,25380,6346,7932,0.043404490391824174,0.043409629044988164,0.04330261330640071,1.0001183898973955
1,emphysema,25380,6346,7932,0.0582757940422174,0.05837803723572105,0.058333333333333334,1.0017544710489843
1,chd,25380,6346,7932,0.04459908271390163,0.044648511716276124,0.044534412955465584,1.0011082963901203
2,arthritis,25380,6346,7932,0.2876831339098843,0.28776864728192164,0.2877006699532297,1.000297248472217
2,asthma,25380,6346,7932,0.15703131161763545,0.1569648209496766,0.15697160883280756,0.9995765770070063
2,thyroid_condition,25380,6346,7932,0.11435907564684969,0.11421800947867299,0.11417024501136651,0.9987664628506414
2,any_cancer,25380,6346,7932,0.10969598990576081,0.10958688111005992,0.10972379871358305,0.9990053529231595
2,copd,25380,6346,7932,0.06974396622923741,0.06998158379373849,0.06956649091974224,1.0034069981583793
2,gout,25380,6346,7932,0.04787270840539606,0.04747530186608123,0.04830810329474622,0.991698682766191
2,liver_condition,25380,6346,7932,0.047878429050720345,0.047671665351223365,0.047787610619469026,0.9956814853035812
2,stroke,25380,6346,7932,0.04468303465698271,0.04451460142067877,0.04454820797576981,0.9962304879783357
2,myocardial_infarction,25380,6346,7932,0.043368454283572076,0.043382236945890516,0.043439828261144085,1.000317803863341
2,emphysema,25380,6346,7932,0.058271195802264565,0.05839646464646465,0.058333333333333334,1.0021497558523627
2,chd,25380,6346,7932,0.04458245974919894,0.044577932342712616,0.04464398634121664,0.9998984487057961
3,arthritis,25381,6346,7931,0.2875755063366102,0.2876322855788975,0.28815489749430523,1.0001974411625334
3,asthma,25381,6346,7931,0.15699416495820848,0.15694006309148265,0.15711038140944683,0.9996553893150091
3,thyroid_condition,25381,6346,7931,0.11426089703095388,0.11435792133944085,0.11437246963562753,1.0008491470923835
3,any_cancer,25381,6346,7931,0.10971811551350286,0.10960416338117017,0.10963916225082009,0.9989614100479272
3,copd,25381,6346,7931,0.069851926791134,0.06974190005491489,0.06941399970773053,0.9984248575340219
3,gout,25381,6346,7931,0.04794520547945205,0.0478429203539823,0.047777040477770406,0.9978666245259166
3,liver_condition,25381,6346,7931,0.047848401105408604,0.047686720353702826,0.04787166856132374,0.9966209790093173
3,stroke,25381,6346,7931,0.04466364174393372,0.044493531082360364,0.044627054361567636,0.9961912944191019
3,myocardial_infarction,25381,6346,7931,0.043363320707070704,0.0433959286728736,0.043445314473351856,1.000751971142228
3,emphysema,25381,6346,7931,0.05831985163556012,0.058368827890834515,0.05819972225729075,1.0008397870347896
3,chd,25381,6346,7931,0.04456659285036381,0.04459203036053131,0.044683544303797465,1.0005707752946902
4,arthritis,25381,6346,7931,0.2876663638876822,0.2878141299193931,0.28771796815769524,1.000513671566303
4,asthma,25381,6346,7931,0.1570104515874581,0.15707301687431005,0.1569518041887459,1.0003984784848357
4,thyroid_condition,25381,6346,7931,0.11428345772617779,0.11443021969337759,0.11424238594717553,1.0012841925692468
4,any_cancer,25381,6346,7931,0.10972676733824863,0.10955233291298865,0.10965299684542587,0.99841028374852
4,copd,25381,6346,7931,0.06975676916016521,0.06973756652596806,0.06971965360340525,0.9997247201321343
4,gout,25381,6346,7931,0.047885959449173066,0.048494983277591976,0.04745166959578207,1.0127182129255516
4,liver_condition,25381,6346,7931,0.047816473189607515,0.047821969696969696,0.04786562263197777,1.000114950078823
4,stroke,25381,6346,7931,0.044638276038994354,0.0446442656570437,0.04458759631173424,1.0001341812135423
4,myocardial_infarction,25381,6346,7931,0.043404490391824174,0.0433959286728736,0.0433135496906175,0.9998027457787596
4,emphysema,25381,6346,7931,0.05825740543525421,0.05847029077117573,0.05831860641252209,1.0036542193105065
4,chd,25381,6346,7931,0.044640385908030523,0.04445499129884512,0.044556962025316456,0.9958469308583632
